# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Nov 26 17:38:18 2022
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_vet_stat:   Vetting Status
# COLUMN koi_vet_date:   Date of Last Parameter Update
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_score:      Disposition Score
# COLUMN koi_fpflag_nt:  Not Transit-Like False Positive Flag
# COLUMN koi_fpflag_ss:  Stellar Eclipse False Positive Flag
# COLUMN koi_fpflag_co:  Centroid Offset False Positive Flag
# COLUMN koi_fpflag_ec:  Ephemeris Match Indicates Contamination False Positive Flag
# COLUMN koi_disp_prov:  Disposition Provenance
# COLUMN koi_comment:    Comment
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_time0:      Transit Epoch [BJD]
# COLUMN koi_eccen:      Eccentricity
# COLUMN koi_longp:      Long. of Periastron [deg]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_ingress:    Ingress Duration [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_ror:        Planet-Star Radius Ratio
# COLUMN koi_srho:       Fitted Stellar Density [g/cm**3]
# COLUMN koi_fittype:    Planetary Fit Type
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_sma:        Orbit Semi-Major Axis [au]
# COLUMN koi_incl:       Inclination [deg]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_dor:        Planet-Star Distance over Star Radius
# COLUMN koi_limbdark_mod: Limb Darkening Model
# COLUMN koi_ldm_coeff4: Limb Darkening Coeff. 4
# COLUMN koi_ldm_coeff3: Limb Darkening Coeff. 3
# COLUMN koi_ldm_coeff2: Limb Darkening Coeff. 2
# COLUMN koi_ldm_coeff1: Limb Darkening Coeff. 1
# COLUMN koi_parm_prov:  Parameters Provenance
# COLUMN koi_max_sngle_ev: Maximum Single Event Statistic
# COLUMN koi_max_mult_ev: Maximum Multiple Event Statistic
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_count:      Number of Planets
# COLUMN koi_num_transits: Number of Transits
# COLUMN koi_tce_plnt_num: TCE Planet Number
# COLUMN koi_tce_delivname: TCE Delivery
# COLUMN koi_quarters:   Quarters
# COLUMN koi_bin_oedp_sig: Odd-Even Depth Comparision Statistic
# COLUMN koi_trans_mod:  Transit Model
# COLUMN koi_model_dof:  Degrees of Freedom
# COLUMN koi_model_chisq: Chi-Square
# COLUMN koi_datalink_dvr: Link to DV Report
# COLUMN koi_datalink_dvs: Link to DV Summary
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_smet:       Stellar Metallicity [dex]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
# COLUMN koi_sage:       Stellar Age [Gyr]
# COLUMN koi_sparprov:   Stellar Parameter Provenance
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
# COLUMN koi_gmag:       g'-band [mag]
# COLUMN koi_rmag:       r'-band [mag]
# COLUMN koi_imag:       i'-band [mag]
# COLUMN koi_zmag:       z'-band [mag]
# COLUMN koi_jmag:       J-band [mag]
# COLUMN koi_hmag:       H-band [mag]
# COLUMN koi_kmag:       K-band [mag]
# COLUMN koi_fwm_stat_sig: FW Offset Significance [percent]
# COLUMN koi_fwm_sra:    FW Source &alpha;(OOT) [hrs]
# COLUMN koi_fwm_sdec:   FW Source &delta;(OOT) [deg]
# COLUMN koi_fwm_srao:   FW Source &Delta;&alpha;(OOT) [sec]
# COLUMN koi_fwm_sdeco:  FW Source &Delta;&delta;(OOT) [arcsec]
# COLUMN koi_fwm_prao:   FW &Delta;&alpha;(OOT) [sec]
# COLUMN koi_fwm_pdeco:  FW &Delta;&delta;(OOT) [arcsec]
# COLUMN koi_dicco_mra:  PRF &Delta;&alpha;<sub>SQ</sub>(OOT) [arcsec]
# COLUMN koi_dicco_mdec: PRF &Delta;&delta;<sub>SQ</sub>(OOT) [arcsec]
# COLUMN koi_dicco_msky: PRF &Delta;&theta;<sub>SQ</sub>(OOT) []arcsec
# COLUMN koi_dikco_mra:  PRF &Delta;&alpha;<sub>SQ</sub>(KIC) [arcsec]
# COLUMN koi_dikco_mdec: PRF &Delta;&delta;<sub>SQ</sub>(KIC) [arcsec]
# COLUMN koi_dikco_msky: PRF &Delta;&theta;<sub>SQ</sub>(KIC) [arcsec]
#
kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_time0bk,koi_time0,koi_eccen,koi_longp,koi_impact,koi_duration,koi_ingress,koi_depth,koi_ror,koi_srho,koi_fittype,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sdec,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky
5812701,K00012.01,Kepler-448 b,CONFIRMED,Done,2018-08-16,CANDIDATE,,0,0,0,0,q1_q17_dr25_sup_koi,,17.855221681,146.5964660,2454979.596,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,,,,1,,,q1_q17_dr25_tce,,,,,,005/005812/005812701/dv/kplr005812701-20160209194854_dvr.pdf,,,,,,,,,297.453740,41.010990,11.353,11.571,11.280,11.245,11.260,10.461,10.287,10.234,,,,,,,,,,,,,
9941662,K00013.01,Kepler-13 b,CONFIRMED,Done,2018-08-16,CANDIDATE,,0,1,0,0,q1_q17_dr25_sup_koi,,1.763587535,120.5659254,2454953.566,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,,,,1,,,q1_q17_dr25_tce,,,,,,009/009941/009941662/dv/kplr009941662-20160209194854_dvr.pdf,,,,,,,,,286.971190,46.868359,9.958,9.697,10.045,10.548,10.020,9.466,9.455,9.425,,,,,,,,,,,,,
7684873,K00014.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,,0,1,0,0,q1_q17_dr25_sup_koi,,2.947376671,171.5229780,2455004.523,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,,,,1,,,q1_q17_dr25_tce,,,,,,007/007684/007684873/dv/kplr007684873-20160209194854_dvr.pdf,,,,,,,,,292.611940,43.305141,10.470,10.475,10.469,10.572,10.661,9.942,9.872,9.837,,,,,,,,,,,,,
3964562,K00015.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,,0,1,1,1,q1_q17_dr25_sup_koi,,3.012476582,135.2592710,2454968.259,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,,,,1,,,q1_q17_dr25_tce,,,,,,003/003964/003964562/dv/kplr003964562-20160209194854_dvr.pdf,,,,,,,,,294.143400,39.089779,12.403,12.419,12.398,12.501,12.572,11.955,11.903,11.873,,,,,,,,,,,,,
9110357,K00016.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,,0,1,1,1,q1_q17_dr25_sup_koi,,0.895277575,133.4119860,2454966.412,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,,,,1,,,q1_q17_dr25_tce,,,,,,009/009110/009110357/dv/kplr009110357-20160209194854_dvr.pdf,,,,,,,,,298.344210,45.409920,13.574,13.688,13.536,13.548,13.513,12.761,12.730,12.635,,,,,,,,,,,,,
10874614,K00017.01,Kepler-6 b,CONFIRMED,Done,2018-08-16,CANDIDATE,,0,0,0,0,q1_q17_dr25_sup_koi,,3.234699282,121.4865708,2454954.487,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,,,,1,,,q1_q17_dr25_tce,,,,,,010/010874/010874614/dv/kplr010874614-20160209194854_dvr.pdf,,,,,,,,,296.837250,48.239944,13.303,13.789,13.253,13.094,,12.001,11.706,11.634,,,,,,,,,,,,,
8191672,K00018.01,Kepler-5 b,CONFIRMED,Done,2018-08-16,CANDIDATE,,0,1,0,0,q1_q17_dr25_sup_koi,,3.548465446,122.9014315,2454955.901,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,,,,1,,,q1_q17_dr25_tce,,,,,,008/008191/008191672/dv/kplr008191672-20160209194854_dvr.pdf,,,,,,,,,299.407010,44.035053,13.369,13.883,13.321,13.148,,12.115,11.863,11.769,,,,,,,,,,,,,
7255336,K00019.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,,0,1,0,0,q1_q17_dr25_sup_koi,,1.203200920,133.9298360,2454966.930,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,,,,1,,,q1_q17_dr25_tce,,,,,,007/007255/007255336/dv/kplr007255336-20160209194854_dvr.pdf,,,,,,,,,280.943850,42.839184,11.374,11.870,11.250,10.990,,10.578,10.326,10.264,,,,,,,,,,,,,
11804465,K00020.01,Kepler-12 b,CONFIRMED,Done,2018-08-16,CANDIDATE,,0,0,0,0,q1_q17_dr25_sup_koi,,4.437962934,171.0091259,2455004.009,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,,,,1,,,q1_q17_dr25_tce,,,,,,011/011804/011804465/dv/kplr011804465-20160209194854_dvr.pdf,,,,,,,,,286.243440,50.040379,13.438,13.782,13.374,13.290,13.274,12.406,12.107,12.066,,,,,,,,,,,,,
10125352,K00021.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,,0,1,1,0,q1_q17_dr25_sup_koi,,4.288515468,121.9726800,2454954.973,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,,,,1,,,q1_q17_dr25_tce,,,,,,010/010125/010125352/dv/kplr010125352-20160209194854_dvr.pdf,,,,,,,,,284.738590,47.169628,13.396,13.727,13.359,13.254,13.222,12.338,12.024,11.977,,,,,,,,,,,,,
9631995,K00022.01,Kepler-422 b,CONFIRMED,Done,2018-08-16,CANDIDATE,,0,0,0,0,q1_q17_dr25_sup_koi,,7.891448838,177.2499624,2455010.250,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,,,,1,,,q1_q17_dr25_tce,,,,,,009/009631/009631995/dv/kplr009631995-20160209194854_dvr.pdf,,,,,,,,,282.629670,46.323360,13.435,13.832,13.376,13.265,13.235,12.357,12.126,12.041,,,,,,,,,,,,,
9071386,K00023.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,,0,1,0,0,q1_q17_dr25_sup_koi,,4.693305543,136.8627229,2454969.863,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,,,,1,,,q1_q17_dr25_tce,,,,,,009/009071/009071386/dv/kplr009071386-20160209194854_dvr.pdf,,,,,,,,,283.166320,45.403061,12.291,12.556,12.231,12.178,12.191,11.336,11.151,11.068,,,,,,,,,,,,,
4743513,K00024.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,,0,1,1,1,q1_q17_dr25_sup_koi,,2.086075752,170.9656270,2455003.966,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,,,,1,,,q1_q17_dr25_tce,,,,,,004/004743/004743513/dv/kplr004743513-20160209194854_dvr.pdf,,,,,,,,,290.815400,39.819469,12.963,13.339,12.933,12.802,12.762,11.940,11.623,11.595,,,,,,,,,,,,,
10593759,K00025.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,,0,1,0,0,q1_q17_dr25_sup_koi,,3.132604547,136.0104540,2454969.010,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,,,,1,,,q1_q17_dr25_tce,,,,,,010/010593/010593759/dv/kplr010593759-20160209194854_dvr.pdf,,,,,,,,,289.261660,47.815521,13.499,13.878,13.443,13.336,13.297,12.423,12.217,12.146,,,,,,,,,,,,,
5021737,K00026.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,,0,1,1,1,q1_q17_dr25_sup_koi,,15.039463260,144.1374610,2454977.137,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,,,,1,,,q1_q17_dr25_tce,,,,,,005/005021/005021737/dv/kplr005021737-20160209194854_dvr.pdf,,,,,,,,,294.732820,40.150341,11.997,12.284,11.939,11.875,11.855,11.014,10.810,10.769,,,,,,,,,,,,,
3832716,K00027.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,,1,0,0,0,q1_q17_dr25_sup_koi,,1.141877248,170.3386848,2455003.339,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,,,,1,,,q1_q17_dr25_tce,,,,,,003/003832/003832716/dv/kplr003832716-20160209194854_dvr.pdf,,,,,,,,,285.394040,38.904911,13.418,13.827,13.385,13.242,13.197,12.369,12.101,12.018,,,,,,,,,,,,,
4247791,K00028.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,,0,1,0,0,q1_q17_dr25_sup_koi,,4.100870416,168.1460533,2455001.146,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,,,,1,,,q1_q17_dr25_tce,,,,,,004/004247/004247791/dv/kplr004247791-20160209194854_dvr.pdf,,,,,,,,,287.164860,39.376942,11.260,12.829,11.585,,,10.624,10.341,10.286,,,,,,,,,,,,,
6956014,K00031.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,,0,1,0,0,q1_q17_dr25_sup_koi,,0.925589891,169.6927500,2455002.693,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,,,,1,,,q1_q17_dr25_tce,,,,,,006/006956/006956014/dv/kplr006956014-20160209194854_dvr.pdf,,,,,,,,,294.031800,42.468845,10.795,13.260,11.348,,,8.932,8.134,7.938,,,,,,,,,,,,,
5725087,K00033.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,,0,1,0,0,q1_q17_dr25_sup_koi,,0.366197145,133.5596900,2454966.560,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,,,,1,,,q1_q17_dr25_tce,,,,,,005/005725/005725087/dv/kplr005725087-20160209194854_dvr.pdf,,,,,,,,,296.967900,40.926769,11.059,12.675,11.396,,,8.468,7.734,7.592,,,,,,,,,,,,,
